#id (do not edit),enabled / disabled,caliber in mm,sub-name,country override (several),ship type override (several),"model, grade N","scaling, grade N","scaling, grade N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@name,enabled,#mm,subName,countries,shipTypes,model_1,scale_1,max_scale_1,weight_modifier_1,caliber_length_modifier_1,model_2,scale_2,max_scale_2,weight_modifier_2,caliber_length_modifier_2,model_3,scale_3,max_scale_3,weight_modifier_3,caliber_length_modifier_3,model_4,scale_4,max_scale_4,weight_modifier_4,caliber_length_modifier_4,model_5,scale_5,max_scale_5,weight_modifier_5,caliber_length_modifier_5,#,#,#,#,#,#,#,#,#,#
default,1,,,,,,-1,-1,1,1,,-1,-1,1,1,,-1,-1,1,1,,-1,-1,1,1,,-1,-1,1,1,,,,,,,,,,
###,,,###,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gun_2_x1,,51,gun_2_x1,,,brandenburg_gun_76_x1,0.8,0.975,0.7,,brandenburg_gun_76_x1,0.825,0.99,0.7,,jap_tb_gun_76_x1,1.3,1.4,0.6,1.31,hood_gun_140_x1,0.875,0.9,1,,iowa_gun_127_x1,0.8,0.975,1,,,,,,,,,,,
gun_2_x2,,51,gun_2_x2,,,dreadnought_gun_178_x2,0.7,0.73,4,,dreadnought_gun_178_x2,0.725,0.76,4.05,,dreadnought_gun_178_x2,0.75,0.78,4.1,,hood_gun_140_x2,0.875,0.9,1,,iowa_gun_127_x2,0.8,0.975,1,,,,,,,,,,,
gun_2_x3,,51,gun_2_x3,,,dreadnought_gun_178_x3,0.7,0.73,4,,dreadnought_gun_178_x3,0.725,0.76,4.05,,dreadnought_gun_178_x3,0.75,0.78,4.1,,hood_gun_140_x3,0.875,0.9,1,,iowa_gun_127_x3,0.8,0.975,1,,,,,,,,,,,
gun_3_x1,,76,gun_3_x1,,,brandenburg_gun_76_x1,1,1.17,0.7,,jap_tb_gun_76_x1,1.45,1.6,0.6,1.5,jap_tb_gun_76_x1,1.45,1.6,0.6,1.5,hood_gun_140_x1,0.925,0.975,1,,iowa_gun_127_x1,1,1.185,1,,,,,,,,,,,
gun_3_x2,,76,gun_3_x2,,,dreadnought_gun_178_x2,0.75,0.85,4,,dreadnought_gun_178_x2,0.775,0.8775,4.05,,dreadnought_gun_178_x2,0.8,0.9,4.1,,hood_gun_140_x2,0.925,0.975,1,,iowa_gun_127_x2,1,1.185,1,,,,,,,,,,,
gun_3_x3,,76,gun_3_x3,,,dreadnought_gun_178_x3,0.75,0.85,4,,dreadnought_gun_178_x3,0.775,0.8775,4.05,,dreadnought_gun_178_x3,0.8,0.9,4.1,,hood_gun_140_x3,0.925,0.975,1,,iowa_gun_127_x3,1,1.185,1,,,,,,,,,,,
gun_4_x1,,102,gun_4_x1,,,brandenburg_gun_76_x1,1.2,1.33,0.7,,brandenburg_gun_76_x1,1.225,1.355,0.725,,dd_s_gun_c_102_x1,1.1,1.3,2.75,1.425,iowa_gun_b_127_x1,1.05,1.21,2.48,,iowa_gun_b_127_x1,1.06,1.135,2.5,,,,,,,,,,,
gun_4_x2,,102,gun_4_x2,,,dreadnought_gun_178_x2,0.875,0.88,2.42,,dreadnought_gun_178_x2,0.9,1,2.44,,dreadnought_gun_178_x2,0.85,0.95,2.46,1.2,iowa_gun_b_127_x2,1.05,1.21,2.48,,iowa_gun_b_127_x2,1.06,1.135,2.5,,,,,,,,,,,
gun_4_x3,,102,gun_4_x3,,,dreadnought_gun_178_x3,0.875,0.88,2.42,,dreadnought_gun_178_x3,0.9,1,2.44,,dreadnought_gun_178_x3,0.85,0.95,2.46,1.2,iowa_gun_b_127_x3,1.05,1.21,2.48,,iowa_gun_b_127_x3,1.06,1.135,2.5,,,,,,,,,,,
gun_5_x1,,127,gun_5_x1,,,friedrich_gun_152_x1,1,1.095,1.25,,dd_s_gun_c_102_x1,1.39,1.5,1.7,1.05,dd_s_gun_c_102_x1,1.39,1.5,1.7,1.05,iowa_gun_b_127_x1,1.15,1.31,1.18,,iowa_gun_b_127_x1,1.16,1.33,1.2,,,,,,,,,,,
gun_5_x2,,127,gun_5_x2,,,tsesarevich_gun_152_x2,0.9,0.975,1.25,,dreadnought_gun_178_x2,1.025,1.1,1.2,,dreadnought_gun_178_x2,1.05,1.121,1.22,,iowa_gun_b_127_x2,1.15,1.31,1.18,,iowa_gun_b_127_x2,1.16,1.33,1.2,,,,,,,,,,,
gun_5_x3,,127,gun_5_x3,,,tsesarevich_gun_152_x3,0.9,0.975,1.25,,dreadnought_gun_178_x3,1.025,1.1,1.2,,dreadnought_gun_178_x3,1.05,1.121,1.22,,iowa_gun_b_127_x3,1.15,1.31,1.18,,iowa_gun_b_127_x3,1.16,1.33,1.2,,,,,,,,,,,
gun_6_x1,,152,gun_6_x1,,,friedrich_gun_152_x1,1.1,1.175,1.25,,dd_s_gun_c_102_x1,1.55,1.7,1.2,,dd_s_gun_c_102_x1,1.55,1.7,1.2,,iowa_gun_b_127_x1,1.35,1.51,1.18,,iowa_gun_b_127_x1,1.37,1.53,1.2,,,,,,,,,,,
